index,label,gesture_name,n_frames_valid,detection_rate,npy_path
0,12,Zoom-out,37,0.9736842105263158,data/landmarks/train/00000_class12.npy
1,1,Point-2f,228,0.9956331877729258,data/landmarks/train/00001_class1.npy
2,5,Throw-down,23,0.9583333333333334,data/landmarks/train/00002_class5.npy
3,1,Point-2f,194,1.0,data/landmarks/train/00003_class1.npy
4,6,Throw-left,42,1.0,data/landmarks/train/00004_class6.npy
5,1,Point-2f,312,0.9968051118210862,data/landmarks/train/00005_class1.npy
6,4,Throw-up,42,1.0,data/landmarks/train/00006_class4.npy
7,0,Point-1f,223,1.0,data/landmarks/train/00007_class0.npy
8,3,Click-2f,24,0.96,data/landmarks/train/00008_class3.npy
9,0,Point-1f,248,0.992,data/landmarks/train/00009_class0.npy
10,9,DblClick-1f,34,0.9714285714285714,data/landmarks/train/00010_class9.npy
11,0,Point-1f,269,0.9853479853479854,data/landmarks/train/00011_class0.npy
12,7,Throw-right,40,0.975609756097561,data/landmarks/train/00012_class7.npy
13,1,Point-2f,208,0.9811320754716981,data/landmarks/train/00013_class1.npy
14,11,Zoom-in,43,1.0,data/landmarks/train/00014_class11.npy
15,1,Point-2f,148,1.0,data/landmarks/train/00015_class1.npy
16,10,DblClick-2f,31,0.8611111111111112,data/landmarks/train/00016_class10.npy
17,0,Point-1f,203,1.0,data/landmarks/train/00017_class0.npy
18,8,Open-twice,45,1.0,data/landmarks/train/00018_class8.npy
19,0,Point-1f,363,0.9864130434782609,data/landmarks/train/00019_class0.npy
20,2,Click-1f,31,1.0,data/landmarks/train/00020_class2.npy
21,11,Zoom-in,41,1.0,data/landmarks/train/00021_class11.npy
22,1,Point-2f,280,0.9929078014184397,data/landmarks/train/00022_class1.npy
23,12,Zoom-out,34,1.0,data/landmarks/train/00023_class12.npy
24,0,Point-1f,198,1.0,data/landmarks/train/00024_class0.npy
25,4,Throw-up,36,0.972972972972973,data/landmarks/train/00025_class4.npy
26,1,Point-2f,242,0.9918032786885246,data/landmarks/train/00026_class1.npy
27,10,DblClick-2f,39,0.9512195121951219,data/landmarks/train/00027_class10.npy
28,0,Point-1f,246,0.9919354838709677,data/landmarks/train/00028_class0.npy
29,9,DblClick-1f,59,1.0,data/landmarks/train/00029_class9.npy
30,1,Point-2f,333,0.9970059880239521,data/landmarks/train/00030_class1.npy
31,8,Open-twice,42,0.9767441860465116,data/landmarks/train/00031_class8.npy
32,1,Point-2f,277,0.992831541218638,data/landmarks/train/00032_class1.npy
33,3,Click-2f,29,0.9666666666666667,data/landmarks/train/00033_class3.npy
34,1,Point-2f,278,0.9893238434163701,data/landmarks/train/00034_class1.npy
35,5,Throw-down,54,0.9473684210526315,data/landmarks/train/00035_class5.npy
36,0,Point-1f,108,0.9908256880733946,data/landmarks/train/00036_class0.npy
37,2,Click-1f,33,1.0,data/landmarks/train/00037_class2.npy
38,0,Point-1f,217,1.0,data/landmarks/train/00038_class0.npy
39,7,Throw-right,52,0.9811320754716981,data/landmarks/train/00039_class7.npy
